id;number;date;due_date;payment_terms_days;party_name;party_state;business_state;subtotal;item_discount_total;overall_discount_kind;overall_discount_value;overall_discount_amount;taxable_value;cgst;sgst;igst;tax_total;total;paid_amount;status;kind;source_invoice_id;notes;terms;finalized_at;deleted;created_at;updated_at
11;educated fooey;2026-04-19T13:05:19;2026-04-19T21:56:09;2787;ouch quaintly phew;gee ownership old;regulate strictly wrathful;29151.33;19864.5;AMOUNT;30523.69;30798.63;16247.77;8047.59;16645.31;21763.14;17766.02;28566.14;16779.04;FINAL;CREDIT_NOTE;4603;notwithstanding agreement;hunger gladly;2026-04-19T10:38:36;false;2026-04-19T14:32:59;2026-04-20T07:44:35
12;if beyond whenever;2026-04-20T08:03:47;2026-04-19T17:57:08;1988;gosh;entry how;treasure stage;29662.24;32312.5;PERCENT;9287.89;3337.5;27056.76;22537.34;4532.87;7518.82;21378.95;14669.02;25879.87;CANCELLED;INVOICE;1488;duh border;sleepily impartial;2026-04-19T17:54:50;true;2026-04-19T11:36:37;2026-04-19T20:13:55
13;claw past;2026-04-19T11:03:21;2026-04-20T05:48:40;1303;for;more ah tightly;ick around ravage;22208.5;16369.81;PERCENT;16309.3;25018.51;30706.72;17022.85;28670.21;6171.24;21930.62;13770.28;25716.44;FINAL;INVOICE;29818;hospitable for excluding;ridge because;2026-04-19T11:35:12;true;2026-04-19T14:37:28;2026-04-19T23:53:35
14;fortunately ouch supplier;2026-04-20T07:46:59;2026-04-20T00:07:21;1601;whose huzzah why;naturally deeply;cleaner demob which;31865.09;12807.57;AMOUNT;20246.66;4591.63;14970.5;13094.83;19968.22;5353.46;6031.05;11994.08;30484.25;DRAFT;INVOICE;23058;electrify;damaged;2026-04-20T02:56:17;true;2026-04-19T13:09:05;2026-04-19T12:46:32
15;hence grim;2026-04-20T09:04:53;2026-04-20T03:26:11;866;concerning blah kinase;loosely stable needily;whoever omelet unhappy;18153.24;30441.07;AMOUNT;9394.24;14569.44;29023.9;5706.6;19460.47;16976.17;3213.24;17981.29;2124.3;DRAFT;CREDIT_NOTE;13045;about ack;gosh;2026-04-19T20:51:14;true;2026-04-20T03:07:29;2026-04-19T20:20:43
16;barring;2026-04-19T19:02:06;2026-04-19T17:32:18;1133;cheerfully;technician council;regularly;9810.68;6855.79;PERCENT;22906.46;9998.87;10670.9;11598.88;1105.44;8000.11;21788.62;17409.46;23694.86;DRAFT;INVOICE;4347;miserly knavishly;frugal loyally tune;2026-04-19T16:05:23;true;2026-04-20T06:55:49;2026-04-19T09:39:09
17;wedge;2026-04-19T14:12:43;2026-04-19T15:46:46;114;disposer blah trained;circumference;tinted promptly corner;22401.31;618.49;PERCENT;4017.9;6495.99;24939.5;9620.19;12346.8;32377.38;16796.27;13666.74;3161.32;CANCELLED;INVOICE;3733;smug celsius fowl;whoever accredit;2026-04-19T15:39:42;false;2026-04-19T15:47:49;2026-04-20T04:34:04
18;horde;2026-04-20T01:56:13;2026-04-19T20:52:55;1202;skeleton sympathetically usher;wherever;behold hence;28512.59;10945.26;AMOUNT;13496.57;32055.11;26048.01;13194.78;32204.67;3729.08;21644;12759.96;28684.92;FINAL;CREDIT_NOTE;29829;untimely likely randomize;earnest quarrelsomely punctually;2026-04-19T20:55:14;false;2026-04-20T08:40:09;2026-04-19T12:15:26
19;um;2026-04-19T22:29:46;2026-04-19T23:23:00;16;hmph numeric;until;apt extremely;25615.97;16033.86;AMOUNT;11104.11;2883.06;18178.77;28839.07;23914.15;27575.5;9073.79;11591.25;15526.99;FINAL;INVOICE;13286;why;unwieldy pro;2026-04-20T07:25:42;true;2026-04-20T05:14:00;2026-04-19T18:26:36
20;printer;2026-04-20T08:21:58;2026-04-20T08:44:52;481;inside profuse;cod;reluctantly yippee hmph;24600.08;10441.66;PERCENT;12747.73;30538.66;13433.44;23080.87;18756.12;6687.38;22678.86;6565.85;23621.82;DRAFT;INVOICE;14951;hmph as;mushy bonnet yuck;2026-04-19T14:12:13;true;2026-04-20T01:04:35;2026-04-19T16:49:06
21;majestically;2026-04-20T05:24:37;2026-04-19T19:32:17;1862;hm meanwhile;glider;eek;28944.55;31593.29;AMOUNT;31672.25;1876.42;10030.09;30012.84;17196.39;25636.95;24572.39;7846.53;27453.46;FINAL;CREDIT_NOTE;18627;incidentally reckon;loftily hopeful unlike;2026-04-19T09:54:28;false;2026-04-19T20:05:52;2026-04-19T18:32:54
22;up yet adventurously;2026-04-19T16:44:46;2026-04-19T16:10:11;719;elementary ditch;rightfully across quantify;serenade;19692.59;8350.98;AMOUNT;9240.11;10568.29;30776.43;15572.05;2958.55;14409.38;7111.75;21199.75;11819.58;CANCELLED;INVOICE;16096;profuse geez;while finally;2026-04-19T18:30:07;true;2026-04-19T13:08:37;2026-04-19T13:27:54
23;daintily immaculate;2026-04-20T02:43:20;2026-04-20T01:53:47;2183;quicker circumnavigate where;whether;silver;9695.2;6317.65;PERCENT;6351.35;24156.81;3368.74;4665.01;1750.43;1376.89;8353.22;15499.07;3232.64;CANCELLED;INVOICE;19746;pointless;bah hoof reckon;2026-04-20T06:28:06;true;2026-04-20T05:22:01;2026-04-19T19:16:17
24;yuck questioningly;2026-04-19T11:15:17;2026-04-19T13:58:31;2366;heighten obedient;mortally;receptor taro;9186.99;1184.47;PERCENT;3385.99;19621.1;12365.17;13728.48;20886.53;24830.82;11146.92;9016.09;1013.88;DRAFT;INVOICE;17724;design;than;2026-04-20T02:28:31;true;2026-04-19T23:44:51;2026-04-19T16:48:49
25;knotty boo misread;2026-04-19T13:03:25;2026-04-19T14:30:21;3297;pricey;broadside ack since;whereas brightly;16628.16;17212.67;PERCENT;3914.6;32152.64;24364.78;30207.38;21222.29;13915.9;3020.08;1497.87;14938.83;CANCELLED;CREDIT_NOTE;10654;parsnip regular;deprave urgently tune;2026-04-20T06:31:30;true;2026-04-19T20:05:25;2026-04-20T07:25:32
26;near qua mortise;2026-04-19T17:58:50;2026-04-20T06:04:16;3424;tremendously where striking;fencing;uh-huh;29753.2;781.73;AMOUNT;24673.71;15458.99;7129.17;18592.94;11214.36;6558.7;22746.92;150.65;8068.25;CANCELLED;CREDIT_NOTE;2824;splosh psst drat;wilted;2026-04-20T06:51:01;false;2026-04-20T06:48:35;2026-04-20T09:00:53
27;since spectate confiscate;2026-04-19T15:56:23;2026-04-20T08:03:38;2976;splash;as;inasmuch;23415.08;1762.76;PERCENT;19721.9;9422.51;28127.13;14599.07;14461.63;6304.79;12419.22;3747.26;25634.03;DRAFT;CREDIT_NOTE;1917;speedily thump;revitalise whoever unfortunately;2026-04-19T22:40:43;true;2026-04-20T04:42:50;2026-04-19T15:47:36
28;provided parody sock;2026-04-20T02:32:28;2026-04-19T15:05:24;1112;yuck;drat;abnegate tedious;10619.78;28852.09;PERCENT;31079.4;30431.37;22428.82;16269.51;7856.2;23263.04;31810.96;1698.77;1000.35;FINAL;CREDIT_NOTE;13240;including bestride worthless;footrest igloo with;2026-04-19T16:42:39;false;2026-04-20T03:59:30;2026-04-20T08:51:12
29;modulo vastly;2026-04-19T15:37:49;2026-04-19T20:13:59;1225;solace;charter;so um;8272.31;25459.2;AMOUNT;6628.05;23776.55;30988.25;13250.89;8296.41;13678.67;2712.69;21560.02;17260.5;CANCELLED;CREDIT_NOTE;26639;as oh;maintainer versus;2026-04-20T07:02:23;true;2026-04-19T14:05:25;2026-04-20T06:48:57
30;blah abscond jaggedly;2026-04-19T11:49:42;2026-04-19T19:50:05;1862;because;tag interestingly sell;apud;27462.56;5675.73;AMOUNT;24142.86;18873.93;13730.42;29187.47;9422.96;14918.11;15858.89;3562.42;13681.25;FINAL;INVOICE;7590;drat;aw;2026-04-20T05:56:22;false;2026-04-19T10:59:57;2026-04-19T12:11:39
